p1;p2;s2;s3;s4;s7;s8;s9;s11;s12;s13;s14;s17;s20;s21;time_before_failure
-0.0013;0.0001;642.38;1603.21;1412.30;553.36;2388.08;9077.34;47.61;520.89;2388.08;8149.56;393;38.83;23.2416;62
0.0013;-0.0003;642.90;1590.38;1415.30;553.10;2388.13;9067.98;47.64;521.05;2388.11;8152.03;395;38.57;23.1923;61
-0.0011;0.0001;642.89;1594.24;1417.63;552.48;2388.10;9078.07;47.80;521.06;2388.10;8148.57;393;38.71;23.1918;60
0.0014;0.0000;642.61;1595.80;1418.98;553.17;2388.10;9067.92;47.81;520.73;2388.16;8154.27;395;38.78;23.1690;59
-0.0005;0.0001;642.82;1591.56;1420.11;552.23;2388.14;9076.23;47.82;521.18;2388.11;8144.87;394;38.64;23.1663;58
0.0007;0.0001;642.88;1592.77;1424.36;553.53;2388.11;9072.90;47.76;521.16;2388.12;8151.04;392;38.65;23.3710;57
-0.0001;-0.0001;643.51;1590.83;1409.88;552.75;2388.12;9067.98;47.71;521.01;2388.17;8151.92;393;38.72;23.3281;56
0.0007;0.0001;643.34;1593.59;1410.52;552.81;2388.16;9080.55;47.73;521.05;2388.16;8156.29;394;38.86;23.2120;55
0.0040;0.0001;643.05;1600.10;1419.71;553.49;2388.15;9067.68;47.48;520.94;2388.14;8149.43;395;38.54;23.2130;54
-0.0002;-0.0004;642.99;1601.22;1412.92;552.50;2388.12;9069.03;47.60;521.01;2388.14;8151.12;393;38.81;23.2299;53
-0.0045;-0.0001;642.60;1594.12;1418.95;552.84;2388.13;9078.73;47.75;520.99;2388.11;8157.97;393;38.62;23.0891;52
-0.0010;-0.0004;643.47;1591.73;1413.84;553.12;2388.13;9079.48;47.52;521.42;2388.09;8152.14;394;38.83;23.2301;51
0.0022;0.0000;643.15;1600.91;1409.68;552.84;2388.15;9076.05;47.60;520.45;2388.15;8151.09;394;38.74;23.1728;50
0.0007;0.0003;642.62;1592.02;1411.42;552.46;2388.16;9079.00;47.82;520.82;2388.12;8149.74;393;38.73;23.1857;49
0.0040;0.0002;643.04;1597.59;1416.13;553.28;2388.14;9075.78;47.78;520.73;2388.10;8151.26;395;38.57;23.1648;48
-0.0021;0.0001;643.11;1588.88;1414.47;553.05;2388.16;9079.49;47.71;520.65;2388.09;8152.21;395;38.87;23.2308;47
0.0008;-0.0002;642.62;1595.28;1419.82;552.35;2388.14;9086.44;47.70;520.50;2388.10;8152.21;394;38.69;23.1382;46
0.0008;0.0003;642.90;1596.50;1420.67;552.25;2388.16;9083.74;47.75;521.40;2388.12;8152.90;396;38.65;23.2326;45
0.0028;0.0001;642.90;1596.70;1417.65;553.20;2388.12;9083.16;47.86;520.38;2388.10;8156.99;394;38.73;23.2425;44
-0.0037;0.0005;643.14;1592.94;1418.40;552.45;2388.14;9071.60;47.86;520.45;2388.12;8152.69;395;38.64;23.2578;43
-0.0021;-0.0000;642.71;1597.39;1413.75;552.80;2388.12;9075.27;47.79;521.51;2388.14;8159.25;395;38.56;23.2453;42
0.0005;-0.0002;642.49;1597.56;1416.19;552.89;2388.13;9093.16;47.66;520.94;2388.11;8158.57;394;38.77;23.2039;41
-0.0008;-0.0002;643.00;1594.04;1418.96;552.37;2388.09;9082.40;47.73;520.74;2388.13;8161.15;395;38.60;23.2360;40
0.0020;0.0004;642.73;1591.56;1416.07;552.86;2388.15;9085.10;47.83;521.64;2388.12;8153.24;394;38.70;23.2822;39
0.0038;0.0000;643.17;1596.65;1419.46;552.60;2388.09;9087.35;47.80;521.05;2388.12;8162.57;396;38.61;23.1289;38
-0.0043;0.0003;643.83;1602.38;1424.50;551.87;2388.14;9075.25;47.89;521.23;2388.16;8161.56;394;38.63;23.1855;37
-0.0006;0.0005;642.94;1598.10;1418.51;553.11;2388.13;9085.91;47.72;520.98;2388.13;8155.93;394;38.81;23.2750;36
-0.0000;0.0003;642.95;1595.13;1417.80;552.84;2388.19;9087.49;47.76;520.53;2388.10;8160.02;395;38.79;23.2519;35
0.0014;-0.0000;643.29;1600.49;1412.14;552.50;2388.15;9087.66;47.88;521.28;2388.17;8156.49;395;38.69;23.1929;34
0.0015;-0.0003;642.48;1595.06;1418.83;551.87;2388.15;9092.69;47.83;521.22;2388.11;8160.39;395;38.69;23.1172;33
0.0050;0.0005;642.70;1602.88;1416.34;552.46;2388.15;9089.60;47.83;520.67;2388.11;8161.07;394;38.78;23.1352;32
0.0017;-0.0003;642.75;1596.64;1415.99;552.56;2388.15;9087.63;47.76;520.74;2388.16;8161.68;395;38.58;23.1669;31
0.0023;0.0000;642.93;1599.37;1425.59;552.29;2388.15;9091.20;47.87;520.45;2388.13;8159.81;395;38.73;23.2591;30
0.0011;-0.0005;642.76;1597.42;1415.01;551.72;2388.13;9090.85;47.85;520.51;2388.13;8164.18;397;38.66;23.1887;29
0.0001;0.0001;643.21;1597.04;1425.50;551.75;2388.13;9094.70;47.88;520.07;2388.13;8166.11;391;38.51;23.0942;28
-0.0012;-0.0001;643.44;1597.84;1422.09;552.66;2388.15;9090.64;47.86;520.29;2388.13;8165.24;395;38.49;23.2527;27
0.0006;-0.0004;643.65;1593.88;1421.06;552.49;2388.15;9099.71;47.87;520.18;2388.14;8166.68;396;38.62;23.1276;26
-0.0028;0.0003;643.41;1599.68;1427.29;551.92;2388.22;9098.53;47.94;520.11;2388.17;8166.87;395;38.58;23.2144;25
0.0034;0.0000;643.08;1597.24;1430.86;551.93;2388.14;9100.89;47.86;520.56;2388.17;8169.07;394;38.57;23.1665;24
0.0009;-0.0002;642.88;1600.49;1424.63;552.07;2388.13;9101.43;47.95;520.66;2388.14;8174.40;394;38.61;23.0881;23
0.0026;-0.0003;643.04;1592.95;1410.81;552.78;2388.11;9091.34;47.90;520.61;2388.12;8168.16;395;38.53;23.2146;22
-0.0004;-0.0001;642.66;1598.57;1415.71;552.32;2388.17;9100.99;48.03;520.74;2388.19;8169.88;396;38.71;23.0629;21
-0.0005;-0.0003;643.08;1601.66;1424.61;551.74;2388.16;9100.09;47.82;520.53;2388.16;8170.82;397;38.75;23.0957;20
0.0027;0.0004;643.24;1599.97;1419.35;552.14;2388.13;9101.20;47.97;520.55;2388.16;8173.02;395;38.51;23.0320;19
0.0028;0.0003;643.06;1602.62;1422.23;551.89;2388.12;9104.09;48.14;519.97;2388.14;8174.02;394;38.67;23.2032;18
-0.0012;0.0001;643.08;1592.53;1419.39;551.91;2388.17;9110.19;47.99;520.60;2388.13;8179.09;396;38.66;23.1457;17
0.0022;0.0002;642.88;1603.43;1428.09;552.11;2388.12;9100.02;47.94;520.11;2388.16;8175.22;395;38.40;23.1089;16
-0.0008;-0.0003;643.20;1601.09;1426.66;551.90;2388.12;9100.47;47.96;520.57;2388.15;8177.27;394;38.60;23.1437;15
-0.0006;0.0002;643.24;1600.42;1420.87;552.07;2388.23;9106.99;47.92;519.94;2388.17;8180.49;396;38.58;23.1287;14
0.0026;-0.0000;643.57;1605.27;1425.50;552.38;2388.23;9114.94;47.91;520.18;2388.17;8183.20;396;38.56;23.0397;13
-0.0003;0.0001;643.79;1600.93;1428.22;552.31;2388.11;9109.47;47.93;520.04;2388.18;8178.71;396;38.52;23.2179;12
-0.0002;0.0003;643.14;1602.39;1425.41;552.43;2388.19;9116.69;47.96;520.11;2388.16;8177.63;396;38.49;23.0382;11
-0.0009;-0.0003;643.10;1608.89;1428.70;552.23;2388.17;9107.25;48.10;520.67;2388.13;8179.13;397;38.51;23.1406;10
-0.0030;-0.0004;643.45;1608.22;1424.48;552.76;2388.11;9112.37;48.18;519.76;2388.17;8184.23;395;38.31;23.1044;9
0.0059;0.0002;643.84;1605.57;1420.19;552.05;2388.16;9124.41;48.12;520.38;2388.20;8182.77;396;38.48;23.0938;8
0.0040;0.0003;644.09;1603.45;1423.90;551.64;2388.18;9123.75;48.05;520.20;2388.19;8193.66;396;38.61;23.0647;7
0.0008;0.0001;643.85;1605.95;1425.54;551.92;2388.17;9122.40;48.15;519.81;2388.08;8190.52;396;38.64;23.0226;6
0.0023;0.0001;643.50;1604.22;1425.67;551.64;2388.16;9120.62;48.19;520.37;2388.21;8186.78;396;38.47;23.0489;5
-0.0020;-0.0002;643.49;1599.40;1427.06;551.48;2388.18;9125.20;48.08;520.14;2388.20;8191.75;396;38.46;23.1078;4
0.0005;-0.0005;644.17;1599.20;1424.67;551.93;2388.21;9128.96;48.04;519.92;2388.18;8193.49;397;38.46;23.0187;3
0.0001;-0.0001;643.31;1603.10;1432.46;551.16;2388.24;9132.68;48.26;519.98;2388.20;8194.69;397;38.44;23.0785;2
-0.0008;0.0003;643.70;1609.93;1425.93;551.96;2388.24;9132.35;48.30;519.89;2388.18;8189.64;396;38.34;23.0647;1
0.0011;-0.0002;643.49;1597.94;1427.60;551.29;2388.18;9129.74;48.32;520.56;2388.23;8196.18;397;38.36;22.9824;0
-0.0018;-0.0004;642.00;1576.75;1394.77;554.97;2388.02;9055.94;46.98;522.88;2388.00;8142.23;391;38.87;23.3903;206
0.0004;0.0004;642.14;1588.84;1394.27;554.18;2387.98;9066.05;47.08;522.82;2388.05;8142.66;392;39.12;23.4014;205
-0.0020;-0.0001;642.05;1581.96;1395.53;554.55;2388.01;9053.70;47.18;522.62;2387.99;8140.42;391;38.89;23.4291;204
-0.0015;-0.0001;641.97;1587.35;1393.24;554.75;2387.96;9053.73;46.92;522.67;2388.00;8140.50;392;39.12;23.4905;203
0.0014;-0.0003;642.33;1584.70;1392.44;554.72;2388.07;9056.97;47.34;523.02;2388.00;8142.05;390;39.09;23.4482;202
-0.0006;-0.0003;641.81;1586.84;1395.70;554.47;2387.97;9061.09;47.15;522.62;2387.98;8141.56;391;39.14;23.5058;201
0.0027;-0.0005;642.41;1582.35;1393.78;553.71;2388.02;9060.13;47.30;522.29;2387.94;8144.41;392;39.26;23.4558;200
0.0003;-0.0000;642.41;1582.04;1395.75;554.93;2387.97;9058.95;47.35;522.26;2387.97;8144.91;391;38.96;23.3113;199
0.0022;-0.0005;642.00;1580.24;1397.41;554.99;2388.09;9055.75;47.01;522.14;2387.99;8136.59;392;39.16;23.4860;198
-0.0006;-0.0002;642.26;1584.19;1396.70;554.77;2387.94;9061.57;47.11;522.44;2388.03;8144.92;391;38.90;23.3710;197
-0.0023;-0.0002;641.90;1585.36;1390.35;554.74;2388.00;9055.34;47.11;522.54;2388.01;8141.67;390;39.19;23.4066;196
-0.0016;-0.0005;642.11;1582.54;1402.78;555.21;2388.01;9049.29;47.10;522.38;2387.95;8139.11;392;39.10;23.3218;195
0.0015;-0.0003;642.21;1581.36;1395.44;555.21;2388.03;9056.72;47.23;522.53;2388.01;8142.24;392;39.01;23.4324;194
0.0015;-0.0002;641.66;1581.98;1400.45;554.01;2387.96;9058.73;47.22;522.08;2388.04;8140.28;391;39.03;23.5056;193
-0.0020;-0.0001;642.01;1585.44;1401.33;554.81;2387.98;9057.64;47.06;522.39;2387.99;8135.05;392;38.86;23.3726;192
0.0011;0.0004;641.71;1579.91;1406.45;554.47;2387.95;9056.07;47.16;522.54;2388.04;8137.87;391;39.01;23.5067;191
0.0009;0.0001;641.81;1581.88;1392.92;555.16;2387.97;9057.40;47.12;522.21;2388.03;8144.71;390;39.01;23.4125;190
-0.0042;0.0005;641.86;1579.26;1390.03;554.27;2387.98;9060.55;47.14;522.77;2387.98;8137.89;392;39.11;23.4096;189
-0.0029;0.0000;642.20;1590.89;1391.23;555.09;2387.96;9054.19;47.20;521.77;2387.98;8139.13;392;38.94;23.4053;188
-0.0027;0.0003;641.73;1583.08;1392.71;554.48;2388.00;9063.05;47.17;522.94;2388.02;8143.76;391;39.02;23.4697;187
0.0002;0.0003;642.51;1576.58;1395.29;554.48;2387.98;9056.38;47.14;522.62;2388.01;8144.26;392;39.00;23.4136;186
-0.0012;0.0001;641.84;1578.51;1396.75;554.36;2388.00;9063.28;47.20;522.28;2388.00;8139.67;391;39.00;23.3403;185
-0.0007;0.0004;641.96;1577.75;1395.00;554.54;2388.03;9058.67;47.19;522.05;2388.01;8143.08;392;39.00;23.4621;184
0.0016;0.0002;642.45;1589.29;1397.04;555.26;2387.97;9045.91;47.11;522.87;2388.00;8142.61;392;39.03;23.4335;183
-0.0006;-0.0002;642.40;1587.75;1398.65;555.19;2388.03;9056.40;47.17;522.68;2388.04;8138.16;391;39.13;23.4505;182
0.0015;-0.0000;642.17;1582.05;1397.76;554.70;2388.01;9058.25;46.99;522.62;2387.99;8142.24;392;39.12;23.3932;181
-0.0011;-0.0001;642.07;1588.41;1406.57;554.82;2388.07;9052.26;47.19;522.23;2388.01;8139.01;390;38.99;23.3395;180
-0.0028;0.0000;641.91;1589.80;1392.82;555.27;2388.02;9059.80;47.13;523.05;2387.99;8141.19;391;39.11;23.4034;179
0.0052;0.0003;641.79;1582.38;1389.69;554.70;2387.98;9054.31;47.29;522.58;2387.99;8142.60;392;38.86;23.3724;178
-0.0004;-0.0003;642.24;1574.15;1396.49;555.14;2388.00;9054.65;47.06;523.06;2388.03;8143.79;392;39.27;23.3407;177
0.0004;-0.0004;641.99;1580.38;1402.78;554.33;2388.02;9061.92;47.37;522.74;2388.04;8139.69;392;39.03;23.4515;176
0.0006;0.0000;642.14;1584.56;1396.39;553.74;2388.01;9059.11;47.29;522.27;2388.03;8142.29;391;39.00;23.4328;175
-0.0003;-0.0000;642.11;1584.96;1397.69;553.97;2388.03;9063.17;47.16;522.40;2388.04;8143.83;393;39.09;23.4391;174
0.0013;-0.0002;641.85;1590.39;1392.99;554.58;2388.01;9065.45;47.25;522.48;2387.98;8143.72;392;38.94;23.3261;173
-0.0011;0.0001;642.41;1583.28;1402.65;554.62;2388.00;9061.89;47.11;522.24;2388.02;8142.36;392;39.09;23.4322;172
0.0039;-0.0001;642.56;1591.33;1396.09;554.41;2388.00;9047.42;47.05;522.92;2387.98;8141.95;391;38.97;23.4540;171
0.0018;0.0000;641.95;1589.69;1394.87;555.23;2388.06;9057.95;47.27;522.26;2388.05;8145.38;392;38.92;23.4714;170
0.0055;-0.0000;641.98;1580.82;1397.00;555.54;2387.96;9062.02;47.09;522.98;2388.03;8145.89;392;39.22;23.4945;169
0.0006;0.0003;642.01;1587.69;1393.64;554.40;2388.02;9060.02;47.16;522.43;2387.96;8139.23;391;38.98;23.3673;168
0.0004;-0.0002;642.50;1584.58;1398.07;554.13;2387.97;9058.56;47.13;522.12;2387.98;8143.52;391;39.07;23.3690;167
-0.0017;0.0002;641.96;1583.84;1393.26;554.32;2387.99;9056.63;47.23;522.11;2387.96;8138.11;392;39.00;23.4862;166
0.0022;-0.0002;642.57;1584.18;1393.00;554.81;2388.00;9058.10;47.01;522.99;2388.01;8137.45;391;38.98;23.3555;165
-0.0041;-0.0001;642.51;1585.40;1395.43;554.85;2388.08;9056.86;47.23;522.39;2387.96;8148.38;392;39.10;23.4450;164
-0.0030;0.0003;642.18;1581.48;1393.57;555.01;2387.99;9055.16;47.04;521.99;2388.04;8139.83;392;39.08;23.4563;163
-0.0002;0.0000;642.26;1580.47;1395.59;554.99;2388.01;9057.82;47.03;521.96;2387.99;8141.59;391;38.95;23.3652;162
0.0002;0.0002;642.15;1580.58;1407.34;554.30;2388.01;9051.12;47.00;521.84;2388.01;8138.59;391;39.16;23.4855;161
-0.0007;0.0004;641.74;1593.18;1396.56;553.37;2388.01;9059.45;47.48;522.16;2388.01;8140.59;390;39.06;23.3375;160
0.0013;-0.0003;642.23;1581.61;1395.42;554.36;2387.98;9054.29;47.17;522.12;2387.99;8143.50;391;39.09;23.4105;159
0.0007;-0.0005;641.74;1584.85;1395.15;555.46;2388.00;9062.59;47.34;521.98;2388.02;8140.04;392;38.87;23.4577;158
-0.0021;-0.0002;642.26;1583.47;1403.78;554.72;2388.00;9059.06;47.22;522.39;2388.02;8141.22;393;39.07;23.4351;157
0.0015;-0.0000;641.74;1584.66;1397.29;554.48;2388.03;9061.45;47.36;522.27;2388.03;8141.67;392;38.93;23.4525;156
-0.0003;0.0004;642.26;1587.69;1399.54;554.23;2388.02;9065.86;47.14;522.10;2388.04;8141.93;392;39.23;23.3558;155
0.0047;-0.0004;641.76;1584.18;1394.35;554.78;2388.01;9055.39;47.14;522.27;2388.03;8140.37;392;39.08;23.4221;154
-0.0000;0.0004;642.05;1581.83;1398.56;554.90;2388.01;9058.20;47.24;522.54;2388.03;8134.15;392;39.11;23.4045;153
0.0015;0.0005;642.57;1582.97;1393.88;555.23;2388.04;9056.47;47.29;521.62;2388.04;8141.80;392;38.95;23.3920;152
0.0025;-0.0001;642.66;1584.24;1399.54;554.90;2387.99;9057.96;47.08;522.39;2387.99;8141.40;393;39.07;23.5732;151
-0.0010;-0.0002;642.11;1587.81;1393.48;554.95;2388.01;9061.19;47.23;522.17;2387.99;8142.56;392;39.08;23.4629;150
-0.0005;-0.0003;641.89;1584.11;1397.73;554.50;2388.02;9058.00;47.23;522.44;2387.98;8141.95;392;38.99;23.4157;149
0.0037;-0.0003;641.81;1577.52;1399.53;554.44;2388.02;9060.41;47.43;522.59;2388.04;8146.59;392;38.67;23.4619;148
0.0038;0.0004;642.00;1578.56;1400.34;554.39;2388.02;9061.22;47.21;521.89;2388.02;8138.92;391;38.92;23.3673;147
-0.0024;0.0003;642.29;1588.69;1389.96;554.75;2388.01;9062.09;47.23;522.65;2388.04;8142.50;392;39.14;23.3634;146
0.0007;0.0001;642.21;1578.29;1398.03;554.54;2388.02;9057.61;47.09;522.46;2388.01;8140.56;391;39.01;23.3912;145
0.0008;0.0003;642.53;1581.64;1399.61;554.07;2388.00;9054.87;47.27;521.83;2388.06;8138.37;392;38.96;23.4058;144
-0.0012;-0.0002;642.40;1584.95;1402.52;554.62;2388.02;9061.88;47.11;522.47;2388.07;8138.59;392;38.87;23.4125;143
-0.0037;0.0003;642.44;1591.69;1397.08;554.48;2388.04;9057.69;47.37;522.11;2387.98;8141.57;391;38.95;23.3545;142
-0.0013;-0.0002;643.13;1586.26;1398.34;554.67;2388.01;9064.83;47.18;522.36;2387.99;8142.54;391;38.93;23.4124;141
-0.0054;0.0003;642.86;1582.86;1399.60;554.45;2388.02;9056.82;47.25;522.43;2388.07;8133.78;393;38.95;23.4194;140
-0.0011;-0.0000;642.01;1591.15;1399.59;554.29;2388.00;9058.44;47.23;521.51;2388.04;8136.67;391;38.97;23.5508;139
-0.0033;0.0004;642.63;1584.83;1389.68;554.68;2388.01;9061.91;47.18;522.91;2388.04;8143.55;392;39.10;23.3570;138
0.0009;0.0000;642.18;1590.23;1398.83;555.08;2388.03;9051.66;47.29;522.29;2388.04;8135.81;392;39.05;23.4105;137
-0.0005;-0.0002;642.60;1586.84;1396.53;554.75;2388.04;9055.77;47.37;522.84;2388.04;8141.56;392;38.83;23.3468;136
0.0039;-0.0002;642.24;1583.64;1403.24;555.10;2388.03;9056.80;47.26;522.32;2387.99;8136.04;391;39.03;23.3770;135
-0.0041;-0.0001;641.75;1586.52;1404.62;554.55;2388.00;9056.72;47.14;522.59;2388.02;8141.63;393;39.10;23.4947;134
-0.0014;0.0001;642.33;1587.38;1403.28;553.86;2387.98;9054.13;47.17;522.83;2388.01;8140.56;392;38.90;23.3666;133
0.0006;-0.0002;641.85;1585.44;1390.22;554.45;2388.07;9061.94;47.26;522.41;2388.06;8141.80;392;39.08;23.5043;132
0.0011;-0.0000;642.21;1595.24;1397.85;554.71;2387.99;9061.51;47.30;522.07;2388.01;8145.33;392;39.00;23.3428;131
-0.0019;0.0002;642.36;1584.32;1393.14;554.33;2388.03;9059.02;47.45;521.96;2388.00;8141.50;393;38.96;23.2786;130
0.0036;0.0005;642.51;1586.82;1399.83;554.15;2387.97;9059.75;46.99;522.31;2387.96;8137.68;391;39.03;23.4495;129
0.0025;0.0003;641.82;1587.74;1396.19;554.26;2388.06;9055.67;47.35;521.75;2387.99;8144.14;393;38.93;23.3939;128
-0.0012;-0.0003;641.95;1590.36;1399.08;554.77;2387.98;9064.74;47.37;522.02;2388.01;8139.11;390;39.03;23.4507;127
0.0037;0.0005;642.24;1583.10;1393.56;554.13;2388.07;9066.89;47.14;522.06;2387.99;8139.72;392;39.08;23.3683;126
-0.0005;0.0004;641.96;1583.45;1403.43;554.33;2388.06;9058.22;47.23;522.48;2387.99;8147.86;391;38.86;23.4031;125
0.0006;-0.0001;642.28;1583.51;1397.40;554.55;2387.99;9057.93;47.19;521.82;2388.01;8134.87;393;38.89;23.2544;124
-0.0003;-0.0005;642.17;1585.11;1396.87;554.38;2388.01;9054.89;47.36;522.62;2388.00;8143.13;391;38.86;23.3906;123
-0.0001;-0.0002;642.12;1578.89;1394.12;554.02;2388.01;9053.48;47.26;522.16;2388.01;8142.01;391;39.17;23.4975;122
-0.0005;-0.0002;641.94;1581.75;1406.17;554.10;2388.00;9066.57;47.33;522.45;2388.03;8144.94;392;39.17;23.3478;121
-0.0021;-0.0002;641.92;1589.06;1399.81;553.91;2388.01;9062.61;47.27;522.20;2388.03;8138.95;392;39.09;23.3490;120
-0.0010;-0.0004;642.06;1587.41;1401.08;554.05;2388.03;9059.20;47.15;522.61;2388.02;8139.31;392;39.05;23.4703;119
-0.0007;0.0004;642.02;1585.47;1402.98;554.73;2388.03;9058.62;47.15;521.86;2388.04;8140.08;392;39.00;23.4427;118
0.0011;-0.0002;642.35;1592.35;1402.51;553.83;2388.03;9063.47;47.43;522.01;2388.00;8137.31;390;39.04;23.4098;117
0.0011;0.0001;642.46;1581.34;1405.34;554.14;2388.09;9057.17;47.31;522.65;2388.02;8142.24;393;38.96;23.2973;116
0.0012;0.0001;641.62;1588.91;1406.95;553.74;2388.04;9058.78;47.22;521.72;2388.03;8142.63;393;38.97;23.3102;115
-0.0021;0.0003;641.89;1583.71;1398.49;553.67;2388.04;9058.26;47.33;521.90;2388.00;8144.65;393;39.07;23.4829;114
0.0003;0.0005;642.33;1585.91;1402.22;554.23;2388.01;9060.76;47.37;522.53;2387.99;8140.49;392;39.04;23.2893;113
0.0006;-0.0000;642.57;1582.79;1402.67;553.66;2388.02;9054.59;47.23;522.20;2388.02;8139.50;392;39.22;23.3732;112
-0.0008;0.0001;642.30;1587.80;1393.12;554.17;2388.00;9057.18;47.22;522.03;2388.00;8138.57;393;39.07;23.4881;111
-0.0004;-0.0002;642.00;1594.93;1396.41;554.14;2388.06;9056.45;47.43;522.10;2388.02;8135.76;394;39.03;23.3660;110
-0.0010;0.0003;641.97;1586.38;1405.04;553.26;2388.02;9050.51;47.28;522.18;2388.05;8145.12;393;39.05;23.4135;109
0.0018;-0.0000;642.80;1589.94;1402.19;554.51;2388.04;9050.98;47.38;522.22;2388.05;8141.46;393;38.97;23.4945;108
0.0019;-0.0004;642.08;1588.67;1396.26;554.10;2388.02;9054.88;47.32;522.65;2388.00;8143.70;393;39.21;23.3159;107
-0.0020;-0.0001;642.38;1578.98;1396.30;554.36;2388.04;9056.89;47.23;522.49;2388.00;8139.97;392;39.10;23.4591;106
0.0007;0.0002;641.90;1581.10;1402.09;553.56;2388.03;9060.87;47.24;521.94;2388.02;8148.48;394;39.10;23.3745;105
-0.0012;-0.0001;642.57;1586.84;1403.11;553.29;2388.06;9057.60;47.37;521.86;2388.04;8140.14;393;38.98;23.4535;104
0.0029;-0.0001;642.43;1587.78;1401.92;554.12;2388.02;9056.53;47.43;522.09;2388.03;8139.92;391;39.08;23.4065;103
-0.0002;0.0003;642.18;1588.27;1398.20;554.79;2388.02;9058.06;47.41;522.34;2388.00;8139.26;391;39.00;23.3850;102
0.0013;-0.0002;642.68;1589.72;1400.98;553.99;2388.01;9058.73;47.18;522.13;2388.03;8141.50;391;38.88;23.3480;101
0.0015;0.0001;642.74;1591.35;1395.01;554.07;2388.04;9048.54;47.15;521.74;2388.10;8137.30;391;39.03;23.3286;100
0.0013;0.0002;642.06;1583.94;1399.22;554.39;2388.05;9055.59;47.22;521.83;2388.07;8135.57;393;38.95;23.3870;99
0.0042;0.0001;642.51;1589.15;1395.30;553.68;2388.07;9060.95;47.35;522.01;2388.09;8139.31;392;38.79;23.4098;98
0.0017;-0.0000;642.22;1589.73;1393.10;554.46;2388.07;9059.81;47.42;522.17;2387.99;8138.24;392;39.06;23.3480;97
-0.0006;0.0002;642.39;1581.07;1400.61;553.78;2388.02;9056.73;47.38;521.86;2388.03;8141.68;393;38.84;23.3774;96
-0.0020;-0.0003;641.71;1582.81;1405.70;553.56;2388.00;9058.00;47.42;521.56;2388.01;8135.88;393;39.06;23.3210;95
0.0011;0.0005;642.05;1579.46;1402.68;553.78;2388.03;9056.79;47.28;521.95;2388.07;8135.39;392;39.06;23.4102;94
-0.0064;-0.0001;642.37;1591.91;1404.17;554.30;2388.02;9053.94;47.27;521.64;2388.08;8139.82;393;38.79;23.4200;93
0.0020;-0.0002;642.63;1589.26;1404.83;553.59;2388.03;9054.00;47.31;521.65;2387.99;8140.99;393;38.93;23.4324;92
-0.0001;-0.0003;642.49;1588.93;1402.16;553.74;2388.05;9061.98;47.32;522.28;2388.03;8140.10;391;38.93;23.3816;91
-0.0024;0.0002;642.44;1588.01;1399.93;553.94;2388.02;9065.49;47.29;521.79;2388.02;8138.92;393;38.99;23.2936;90
0.0024;0.0001;641.45;1590.80;1402.87;553.84;2388.04;9052.23;47.14;521.86;2388.03;8144.23;392;38.77;23.3585;89
-0.0006;0.0005;642.26;1580.44;1395.59;554.33;2388.04;9061.90;47.35;521.70;2388.02;8142.29;392;38.91;23.3598;88
0.0009;0.0002;641.70;1587.63;1398.30;554.06;2388.08;9055.32;47.45;521.81;2388.05;8137.39;393;39.05;23.3618;87
0.0000;0.0002;643.10;1594.17;1394.78;554.38;2388.04;9056.31;47.50;521.85;2388.04;8138.40;393;39.08;23.3346;86
0.0018;-0.0004;642.11;1584.97;1398.55;554.97;2388.00;9056.93;47.52;522.16;2388.07;8136.92;392;38.96;23.3643;85
0.0002;-0.0002;642.17;1582.85;1408.40;554.05;2388.08;9063.35;47.27;521.77;2388.02;8142.79;393;38.85;23.3931;84
0.0020;0.0003;642.50;1588.45;1405.57;553.43;2388.06;9060.27;47.34;521.60;2388.06;8141.59;392;38.79;23.3535;83
-0.0020;-0.0004;642.84;1588.86;1404.73;553.02;2388.03;9057.14;47.35;521.95;2388.12;8134.18;393;38.97;23.4524;82
-0.0005;-0.0003;641.95;1593.68;1401.22;553.51;2388.10;9054.76;47.50;522.23;2388.02;8130.60;394;38.93;23.2533;81
0.0011;0.0005;642.10;1589.30;1397.59;553.70;2388.09;9052.79;47.54;521.80;2388.07;8134.43;392;39.12;23.2636;80
-0.0023;0.0004;642.66;1587.07;1410.27;554.08;2388.11;9056.20;47.35;522.37;2388.05;8138.69;391;38.79;23.2980;79
0.0007;0.0005;641.54;1583.60;1404.57;553.76;2388.12;9050.54;47.45;521.66;2388.10;8132.47;392;38.76;23.3012;78
-0.0021;-0.0003;642.34;1589.19;1402.03;553.80;2388.07;9059.10;47.35;521.79;2388.08;8134.16;392;38.83;23.3836;77
-0.0000;0.0004;642.26;1585.34;1404.06;553.87;2388.06;9061.06;47.56;521.83;2388.08;8139.28;393;38.78;23.4100;76
0.0013;0.0004;642.74;1579.91;1406.23;554.04;2388.09;9052.19;47.58;521.72;2388.07;8138.54;393;38.94;23.3697;75
-0.0022;-0.0002;642.19;1577.58;1405.78;553.86;2388.07;9056.16;47.47;521.34;2388.07;8135.66;394;39.05;23.2832;74
-0.0012;0.0003;642.69;1592.02;1405.44;553.16;2388.06;9054.08;47.46;521.62;2388.08;8136.89;393;39.01;23.3382;73
0.0018;0.0001;642.18;1588.62;1408.15;553.85;2388.10;9056.87;47.43;522.03;2388.06;8136.84;392;39.18;23.4428;72
-0.0043;-0.0001;642.59;1581.14;1403.22;553.41;2388.07;9058.83;47.41;522.26;2388.01;8142.17;392;38.75;23.3093;71
